,Phone,Img_url,Price,Rating,connectivity,processor,Memory,Bettry,Display,Camera,Memory_card,Os
112,Xiaomi Redmi Note 12 4G,"<img alt=""Xiaomi Redmi Note 12 4G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iZNxZIztl-w280-h280/xiaomi-redmi-note-12.webp""/>","₹8,799",,"<li class="""">Dual Sim, 3G, 4G, VoLTE, Wi-Fi, IR Blaster</li>","<li class="""">Snapdragon 685, Octa Core, 2.8 GHz Processor</li>","<li class="""">6 GB RAM, 64 GB inbuilt</li>","<li class="""">5000 mAh Battery with 33W Fast Charging</li>","<li class="""">6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 8 MP + 2 MP Triple Rear &amp; 13 MP Front Camera</li>","<li class="""">Memory Card (Hybrid), upto 1 TB</li>","<li class="""">Android v13</li>"
113,OPPO A17,"<img alt=""OPPO A17"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-ipN4tnrld-w280-h280/oppo-a17.webp""/>","₹6,399",,"<li class="""">Dual Sim, 3G, 4G, VoLTE, Wi-Fi</li>","<li class="""">Helio G35, Octa Core, 2.3 GHz Processor</li>","<li class="""">4 GB RAM, 64 GB inbuilt</li>","<li class="""">5000 mAh Battery with Fast Charging</li>","<li class="""">6.56 inches, 720 x 1612 px Display with Water Drop Notch</li>","<li class="""">50 MP + 2 MP Dual Rear &amp; 5 MP Front Camera</li>","<li class="""">Memory Card Supported, upto 1 TB</li>","<li class="""">Android v12</li>"
114,Motorola Moto G24 Power,"<img alt=""Motorola Moto G24 Power"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iiUeasxng-w280-h280/motorola-moto-g24-po.webp""/>","₹7,997",,"<li class="""">Dual Sim, 3G, 4G, VoLTE, Wi-Fi</li>","<li class="""">Helio G85, Octa Core, 2 GHz Processor</li>","<li class="""">4 GB RAM, 128 GB inbuilt</li>","<li class="""">6000 mAh Battery with 30W Fast Charging</li>","<li class="""">6.6 inches, 720 x 1612 px, 90 Hz Display with Punch Hole</li>","<li class="""">50 MP + 2 MP Dual Rear &amp; 16 MP Front Camera</li>","<li class="""">Memory Card Supported, upto 1 TB</li>","<li class="""">Android v14</li>"
115,Xiaomi Redmi 13C 4G,"<img alt=""Xiaomi Redmi 13C 4G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iUzY5iEnq-w280-h280/xiaomi-redmi-13c-4g.webp""/>","₹7,799",,"<li class="""">Dual Sim, 3G, 4G, VoLTE, Wi-Fi</li>","<li class="""">Helio G85, Octa Core, 2 GHz Processor</li>","<li class="""">4 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 18W Fast Charging</li>","<li class="""">6.74 inches, 720 x 1600 px, 90 Hz Display with Water Drop Notch</li>","<li class="""">50 MP + 2 MP + 0.08 MP Triple Rear &amp; 8 MP Front Camera</li>","<li class="""">Memory Card Supported, upto 1 TB</li>","<li class="""">Android v13</li>"
116,Realme C53,"<img alt=""Realme C53"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iDtO3wcmK-w280-h280/realme-c53.webp""/>","₹8,637",,"<li class="""">Dual Sim, 3G, 4G, VoLTE, Wi-Fi</li>","<li class="""">Tiger T612, Octa Core, 1.82 GHz Processor</li>","<li class="""">4 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 18W Fast Charging</li>","<li class="""">6.74 inches, 1080 x 2400 px, 90 Hz Display with Water Drop Notch</li>","<li class="""">108 MP + 2 MP Dual Rear &amp; 8 MP Front Camera</li>","<li class="""">Memory Card Supported, upto 2 TB</li>","<li class="""">Android v13</li>"
117,Realme 11,"<img alt=""Realme 11"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-ikYCntYcZ-w280-h280/realme-11.webp""/>","₹16,769",83,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Dimensity 6100 Plus, Octa Core, 2.2 GHz Processor</li>","<li class="""">8 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 67W Fast Charging</li>","<li class="""">6.72 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole</li>","<li class="""">108 MP + 2 MP Dual Rear &amp; 16 MP Front Camera</li>","<li class="""">Memory Card Supported, upto 1 TB</li>","<li class="""">Android v13</li>"
118,OnePlus 11R (16GB RAM + 256GB),"<img alt=""OnePlus 11R (16GB RAM + 256GB)"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-itKcLWDTz-w280-h280/oneplus-11r-16gb-ram.webp""/>","₹36,676",87,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster</li>","<li class="""">Snapdragon 8+ Gen1, Octa Core, 3.2 GHz Processor</li>","<li class="""">16 GB RAM, 256 GB inbuilt</li>","<li class="""">5000 mAh Battery with 100W Fast Charging</li>","<li class="""">6.74 inches, 1240 x 2772 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 8 MP + 2 MP Triple Rear &amp; 16 MP Front Camera</li>","<li class="""">Android v13</li>",
119,Vivo V27,"<img alt=""Vivo V27"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-ieBu50dsl-w280-h280/vivo-v27.webp""/>","₹30,899",85,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Dimensity 7200, Octa Core, 2.8 GHz Processor</li>","<li class="""">8 GB RAM, 128 GB inbuilt</li>","<li class="""">4600 mAh Battery with 66W Fast Charging</li>","<li class="""">6.78 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 8 MP + 2 MP Triple Rear &amp; 50 MP Front Camera</li>","<li class="""">Android v13</li>",
120,Oppo F25 Pro 5G (8GB RAM + 256GB),"<img alt=""Oppo F25 Pro 5G (8GB RAM + 256GB)"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iTQARpDh8-w280-h280/oppo-f25-pro-5g-8gb.webp""/>","₹25,999",86,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Dimensity 7050, Octa Core, 2.6 GHz Processor</li>","<li class="""">8 GB RAM, 256 GB inbuilt</li>","<li class="""">5000 mAh Battery with 67W Fast Charging</li>","<li class="""">6.7 inches, 1080 x 2412 px, 120 Hz Display with Punch Hole</li>","<li class="""">64 MP + 8 MP + 2 MP Triple Rear &amp; 32 MP Front Camera</li>","<li class="""">Memory Card (Hybrid), upto 2 TB</li>","<li class="""">Android v14</li>"
121,Oppo A78,"<img alt=""Oppo A78"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iNeAizQdS-w280-h280/oppo-a78.webp""/>","₹14,399",,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Dimensity 700 5G, Octa Core, 2.2 GHz Processor</li>","<li class="""">8 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 33W Fast Charging</li>","<li class="""">6.56 inches, 720 x 1612 px, 90 Hz Display with Water Drop Notch</li>","<li class="""">50 MP + 2 MP Dual Rear &amp; 8 MP Front Camera</li>","<li class="""">Memory Card Supported</li>","<li class="""">Android v12</li>"
