,Phone,Img_url,Price,Rating,connectivity,processor,Memory,Bettry,Display,Camera,Memory_card,Os
0,OnePlus Nord CE 4 5G,"<img alt=""OnePlus Nord CE 4 5G"" class=""sm-img"" src=""https://cdn1.smartprix.com/rx-iJIRhERgV-w280-h280/oneplus-nord-ce-4-5g.webp""/>","₹24,999",83,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Snapdragon 7 Gen3, Octa Core, 2.63 GHz Processor</li>","<li class="""">8 GB RAM, 128 GB inbuilt</li>","<li class="""">5500 mAh Battery with 100W Fast Charging</li>","<li class="""">6.7 inches, 1080 x 2412 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 8 MP Dual Rear &amp; 16 MP Front Camera</li>","<li class="""">Memory Card (Hybrid), upto 1 TB</li>","<li class="""">Android v14</li>"
1,Realme 12X,"<img alt=""Realme 12X"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iygaGCROu-w280-h280/realme-12x.webp""/>","₹11,999",,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Dimensity 6100 Plus, Octa Core, 2.2 GHz Processor</li>","<li class="""">4 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 45W Fast Charging</li>","<li class="""">6.72 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 2 MP Dual Rear &amp; 8 MP Front Camera</li>","<li class="""">Memory Card Supported, upto 2 TB</li>","<li class="""">Android v14</li>"
2,Vivo T3 5G,"<img alt=""Vivo T3 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iJgJnXY13-w280-h280/vivo-t3-5g.webp""/>","₹19,999",82,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Dimensity 7200, Octa Core, 2.8 GHz Processor</li>","<li class="""">8 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 44W Fast Charging</li>","<li class="""">6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 2 MP Triple Rear &amp; 16 MP Front Camera</li>","<li class="""">Memory Card (Hybrid), upto 1 TB</li>","<li class="""">Android v14</li>"
3,Nothing Phone 2a,"<img alt=""Nothing Phone 2a"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iX1TaPGbE-w280-h280/nothing-phone-2a.webp""/>","₹23,999",86,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC</li>","<li class="""">Dimensity 7200 Pro, Octa Core, 2.8 GHz Processor</li>","<li class="""">8 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 45W Fast Charging</li>","<li class="""">6.7 inches, 1084 x 2412 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 50 MP Dual Rear &amp; 32 MP Front Camera</li>","<li class="""">Android v14</li>",
4,OnePlus 12R,"<img alt=""OnePlus 12R"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iakzXgVAH-w280-h280/oneplus-12r.webp""/>","₹38,688",85,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster</li>","<li class="""">Snapdragon 8 Gen2, Octa Core, 3.2 GHz Processor</li>","<li class="""">8 GB RAM, 128 GB inbuilt</li>","<li class="""">5500 mAh Battery with 100W Fast Charging</li>","<li class="""">6.78 inches, 1264 x 2780 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 8 MP + 2 MP Triple Rear &amp; 16 MP Front Camera</li>","<li class="""">Android v14</li>",
5,Xiaomi Redmi Note 13 Pro 5G,"<img alt=""Xiaomi Redmi Note 13 Pro 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iG0eh46lf-w280-h280/xiaomi-redmi-note-13.webp""/>","₹23,999",84,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster</li>","<li class="""">Snapdragon 7s Gen 2, Octa Core, 2.4 GHz Processor</li>","<li class="""">8 GB RAM, 128 GB inbuilt</li>","<li class="""">5100 mAh Battery with 67W Fast Charging</li>","<li class="""">6.67 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole</li>","<li class="""">200 MP + 8 MP + 2 MP Triple Rear &amp; 16 MP Front Camera</li>","<li class="""">Android v13</li>",
6,Motorola Moto G34 5G (8GB RAM + 128GB),"<img alt=""Motorola Moto G34 5G (8GB RAM + 128GB)"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iYaMlTUun-w280-h280/motorola-moto-g34-5g.webp""/>","₹11,999",,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi</li>","<li class="""">Snapdragon 695, Octa Core, 2.2 GHz Processor</li>","<li class="""">8 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 18W Fast Charging</li>","<li class="""">6.5 inches, 720 x 1600 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 2 MP Dual Rear &amp; 16 MP Front Camera</li>","<li class="""">Memory Card (Hybrid), upto 1 TB</li>","<li class="""">Android v14</li>"
7,iQOO Z9 5G,"<img alt=""iQOO Z9 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iM93IMTdh-w280-h280/iqoo-z9-5g.webp""/>","₹19,999",83,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Dimensity 7200, Octa Core, 2.8 GHz Processor</li>","<li class="""">8 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 44W Fast Charging</li>","<li class="""">6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 2 MP Dual Rear &amp; 16 MP Front Camera</li>","<li class="""">Memory Card (Hybrid), upto 1 TB</li>","<li class="""">Android v14</li>"
8,Xiaomi Redmi Note 13 5G,"<img alt=""Xiaomi Redmi Note 13 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-ivCJW3bce-w280-h280/xiaomi-redmi-note-13.webp""/>","₹16,989",81,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, IR Blaster</li>","<li class="""">Dimensity 6080, Octa Core, 2.4 GHz Processor</li>","<li class="""">6 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 33W Fast Charging</li>","<li class="""">6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole</li>","<li class="""">108 MP + 8 MP + 2 MP Triple Rear &amp; 16 MP Front Camera</li>","<li class="""">Memory Card Supported, upto 1 TB</li>","<li class="""">Android v13</li>"
9,Vivo V30 5G,"<img alt=""Vivo V30 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iVNbyRECY-w280-h280/vivo-v30-5g.webp""/>","₹31,799",86,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Snapdragon 7 Gen3, Octa Core, 2.63 GHz Processor</li>","<li class="""">8 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 80W Fast Charging</li>","<li class="""">6.78 inches, 1260 x 2800 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 50 MP Dual Rear &amp; 50 MP Front Camera</li>","<li class="""">Memory Card Supported</li>","<li class="""">Android v14</li>"
10,Vivo V30 Pro 5G,"<img alt=""Vivo V30 Pro 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-ihCwhkEQ6-w280-h280/vivo-v30-pro-5g.webp""/>","₹41,500",87,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Dimensity 8200, Octa Core, 3.1 GHz Processor</li>","<li class="""">8 GB RAM, 256 GB inbuilt</li>","<li class="""">5000 mAh Battery with 80W Fast Charging</li>","<li class="""">6.78 inches, 1260 x 2800 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 50 MP + 50 MP Triple Rear &amp; 50 MP Front Camera</li>","<li class="""">Android v14</li>",
11,OnePlus Nord CE 4 5G (8GB RAM + 256GB),"<img alt=""OnePlus Nord CE 4 5G (8GB RAM + 256GB)"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-i7zgwRqdk-w280-h280/oneplus-nord-ce-4-5g.webp""/>","₹26,999",84,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Snapdragon 7 Gen3, Octa Core, 2.63 GHz Processor</li>","<li class="""">8 GB RAM, 256 GB inbuilt</li>","<li class="""">5500 mAh Battery with 100W Fast Charging</li>","<li class="""">6.7 inches, 1080 x 2412 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 8 MP Dual Rear &amp; 16 MP Front Camera</li>","<li class="""">Memory Card (Hybrid), upto 1 TB</li>","<li class="""">Android v14</li>"
12,Motorola Edge 40 Neo,"<img alt=""Motorola Edge 40 Neo"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-i3TEsGJHe-w280-h280/motorola-edge-40-neo.webp""/>","₹22,999",84,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC</li>","<li class="""">Dimensity 7030, Octa Core, 2.5 GHz Processor</li>","<li class="""">8 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 68W Fast Charging</li>","<li class="""">6.55 inches, 1080 x 2400 px, 144 Hz Display with Punch Hole</li>","<li class="""">50 MP + 13 MP Dual Rear &amp; 32 MP Front Camera</li>","<li class="""">Android v13</li>",
13,Motorola Moto G54 5G,"<img alt=""Motorola Moto G54 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-ibGBR2C8Q-w280-h280/motorola-moto-g54-5g.webp""/>","₹14,999",84,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Dimensity 7020, Octa Core, 2.2 GHz Processor</li>","<li class="""">8 GB RAM, 128 GB inbuilt</li>","<li class="""">6000 mAh Battery with 33W Fast Charging</li>","<li class="""">6.5 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 8 MP Dual Rear &amp; 16 MP Front Camera</li>","<li class="""">Memory Card (Hybrid), upto 1 TB</li>","<li class="""">Android v13</li>"
14,OnePlus Nord CE 3 Lite 5G,"<img alt=""OnePlus Nord CE 3 Lite 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iAf9Lqlrt-w280-h280/oneplus-nord-ce-3-li.webp""/>","₹17,412",85,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Snapdragon 695 5G, Octa Core, 2.2 GHz Processor</li>","<li class="""">8 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 67W Fast Charging</li>","<li class="""">6.72 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole</li>","<li class="""">108 MP + 2 MP + 2 MP Triple Rear &amp; 16 MP Front Camera</li>","<li class="""">Memory Card (Hybrid), upto 1 TB</li>","<li class="""">Android v13</li>"
15,Tecno Pova 6 Pro,"<img alt=""Tecno Pova 6 Pro"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-ilf0u56p4-w280-h280/tecno-pova-6-pro.webp""/>","₹19,999",87,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC, IR Blaster</li>","<li class="""">Dimensity 6080, Octa Core, 2.4 GHz Processor</li>","<li class="""">8 GB RAM, 256 GB inbuilt</li>","<li class="""">6000 mAh Battery with 70W Fast Charging</li>","<li class="""">6.78 inches, 1080 x 2436 px, 120 Hz Display with Punch Hole</li>","<li class="""">108 MP + 2 MP + 0.08 MP Triple Rear &amp; 32 MP Front Camera</li>","<li class="""">Memory Card Supported, upto 1 TB</li>","<li class="""">Android v14</li>"
16,Samsung Galaxy F15 5G,"<img alt=""Samsung Galaxy F15 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iwUujWfwg-w280-h280/samsung-galaxy-f15-5.webp""/>","₹12,999",,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Dimensity 6100 Plus, Octa Core, 2.2 GHz Processor</li>","<li class="""">4 GB RAM, 128 GB inbuilt</li>","<li class="""">6000 mAh Battery with 25W Fast Charging</li>","<li class="""">6.45 inches, 1080 x 2340 px, 90 Hz Display with Water Drop Notch</li>","<li class="""">50 MP + 5 MP + 2 MP Triple Rear &amp; 13 MP Front Camera</li>","<li class="""">Memory Card (Hybrid), upto 1 TB</li>","<li class="""">Android v14</li>"
17,Samsung Galaxy A55 5G,"<img alt=""Samsung Galaxy A55 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iJoqOel8u-w280-h280/samsung-galaxy-a55-5.webp""/>","₹38,999",88,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC</li>","<li class="""">Exynos 1480, Octa Core, 2.7 GHz Processor</li>","<li class="""">8 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 25W Fast Charging</li>","<li class="""">6.6 inches, 1080 x 2340 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 12 MP + 5 MP Triple Rear &amp; 32 MP Front Camera</li>","<li class="""">Memory Card (Hybrid), upto 1 TB</li>","<li class="""">Android v14</li>"
18,OnePlus Nord CE 3 5G,"<img alt=""OnePlus Nord CE 3 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-idEgUmuTV-w280-h280/oneplus-nord-ce-3-5g.webp""/>","₹23,355",84,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster</li>","<li class="""">Snapdragon  782G, Octa Core, 2.7 GHz Processor</li>","<li class="""">8 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 80W Fast Charging</li>","<li class="""">6.7 inches, 1080 x 2412 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 8 MP + 2 MP Triple Rear &amp; 16 MP Front Camera</li>","<li class="""">Memory Card (Hybrid), upto 1 TB</li>","<li class="""">Android v13</li>"
19,Realme Narzo 70 Pro 5G (8GB RAM + 256GB),"<img alt=""Realme Narzo 70 Pro 5G (8GB RAM + 256GB)"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-igO3zHlIk-w280-h280/realme-narzo-70-pro.webp""/>","₹20,055",84,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Dimensity 7050, Octa Core, 2.6 GHz Processor</li>","<li class="""">8 GB RAM, 256 GB inbuilt</li>","<li class="""">5000 mAh Battery with 67W Fast Charging</li>","<li class="""">6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 8 MP + 2 MP Triple Rear &amp; 16 MP Front Camera</li>","<li class="""">Memory Card (Hybrid), upto 2 TB</li>","<li class="""">Android v14</li>"
20,Realme 12X 5G (8GB RAM +128GB),"<img alt=""Realme 12X 5G (8GB RAM +128GB)"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iygaGCROu-w280-h280/realme-12x-5g-8gb-ra.webp""/>","₹14,999",80,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Dimensity 6100 Plus, Octa Core, 2.2 GHz Processor</li>","<li class="""">8 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 45W Fast Charging</li>","<li class="""">6.72 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 2 MP Dual Rear &amp; 8 MP Front Camera</li>","<li class="""">Memory Card Supported, upto 2 TB</li>","<li class="""">Android v14</li>"
21,OnePlus Nord 3 5G,"<img alt=""OnePlus Nord 3 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-icVITNmRp-w280-h280/oneplus-nord-3-5g.webp""/>","₹25,327",85,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster</li>","<li class="""">Dimensity 9000, Octa Core, 3.05 GHz Processor</li>","<li class="""">8 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 80W Fast Charging</li>","<li class="""">6.74 inches, 1240 x 2772 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 8 MP + 2 MP Triple Rear &amp; 16 MP Front Camera</li>","<li class="""">Android v13</li>",
22,Xiaomi Redmi Note 13 Pro Plus,"<img alt=""Xiaomi Redmi Note 13 Pro Plus"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-ibuKCEJlQ-w280-h280/xiaomi-redmi-note-13.webp""/>","₹29,990",87,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster</li>","<li class="""">Dimensity 7200 Ultra, Octa Core, 2.8 GHz Processor</li>","<li class="""">8 GB RAM, 256 GB inbuilt</li>","<li class="""">5000 mAh Battery with 120W Fast Charging</li>","<li class="""">6.67 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole</li>","<li class="""">200 MP + 8 MP + 2 MP Triple Rear &amp; 16 MP Front Camera</li>","<li class="""">Android v13</li>",
23,Realme 12X (6GB RAM +128GB),"<img alt=""Realme 12X (6GB RAM +128GB)"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iygaGCROu-w280-h280/realme-12x-6gb-ram-1.webp""/>","₹12,999",,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Dimensity 6100 Plus, Octa Core, 2.2 GHz Processor</li>","<li class="""">6 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 45W Fast Charging</li>","<li class="""">6.72 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 2 MP Dual Rear &amp; 8 MP Front Camera</li>","<li class="""">Memory Card Supported, upto 2 TB</li>","<li class="""">Android v14</li>"
24,Realme 12 Plus 5G,"<img alt=""Realme 12 Plus 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iUyGoU2rR-w280-h280/realme-12-plus-5g.webp""/>","₹19,890",84,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Dimensity 7050, Octa Core, 2.6 GHz Processor</li>","<li class="""">8 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 67W Fast Charging</li>","<li class="""">6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 8 MP + 2 MP Triple Rear &amp; 16 MP Front Camera</li>","<li class="""">Memory Card (Hybrid), upto 2 TB</li>","<li class="""">Android v14</li>"
25,Oppo F25 Pro 5G,"<img alt=""Oppo F25 Pro 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iTQARpDh8-w280-h280/oppo-f25-pro-5g.webp""/>","₹23,999",85,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Dimensity 7050, Octa Core, 2.6 GHz Processor</li>","<li class="""">8 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 67W Fast Charging</li>","<li class="""">6.7 inches, 1080 x 2412 px, 120 Hz Display with Punch Hole</li>","<li class="""">64 MP + 8 MP + 2 MP Triple Rear &amp; 32 MP Front Camera</li>","<li class="""">Memory Card (Hybrid), upto 2 TB</li>","<li class="""">Android v14</li>"
26,OPPO Reno 11,"<img alt=""OPPO Reno 11"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-ikqjgoHMF-w280-h280/oppo-reno-11.webp""/>","₹27,740",88,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster</li>","<li class="""">Dimensity 7050, Octa Core, 2.6 GHz Processor</li>","<li class="""">8 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 67W Fast Charging</li>","<li class="""">6.7 inches, 1080 x 2412 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 32 MP + 8 MP Triple Rear &amp; 32 MP Front Camera</li>","<li class="""">Memory Card (Hybrid), upto 2 TB</li>","<li class="""">Android v14</li>"
27,Motorola Moto G84 5G,"<img alt=""Motorola Moto G84 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iMBUI5fcZ-w280-h280/motorola-moto-g84-5g.webp""/>","₹17,999",86,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC</li>","<li class="""">Snapdragon 695, Octa Core, 2.2 GHz Processor</li>","<li class="""">12 GB RAM, 256 GB inbuilt</li>","<li class="""">5000 mAh Battery with 30W Fast Charging</li>","<li class="""">6.55 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 8 MP Dual Rear &amp; 16 MP Front Camera</li>","<li class="""">Memory Card (Hybrid)</li>","<li class="""">Android v13</li>"
28,Samsung Galaxy A35 5G,"<img alt=""Samsung Galaxy A35 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iaq8maqaX-w280-h280/samsung-galaxy-a35-5.webp""/>","₹28,379",85,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC</li>","<li class="""">Exynos 1380, Octa Core, 2.4 GHz Processor</li>","<li class="""">8 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 25W Fast Charging</li>","<li class="""">6.6 inches, 1080 x 2340 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 8 MP + 5 MP Triple Rear &amp; 13 MP Front Camera</li>","<li class="""">Memory Card (Hybrid), upto 1 TB</li>","<li class="""">Android v14</li>"
29,Realme Narzo 60 5G,"<img alt=""Realme Narzo 60 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-i2KfXqT6S-w280-h280/realme-narzo-60-5g.webp""/>","₹14,999",82,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Dimensity 6020, Octa Core, 2.2 GHz Processor</li>","<li class="""">8 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 33W Fast Charging</li>","<li class="""">6.43 inches, 1080 x 2400 px, 90 Hz Display with Punch Hole</li>","<li class="""">64 MP + 2 MP Dual Rear &amp; 16 MP Front Camera</li>","<li class="""">Memory Card Supported, upto 1 TB</li>","<li class="""">Android v13</li>"
30,Samsung Galaxy F54,"<img alt=""Samsung Galaxy F54"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iflC8vwCe-w280-h280/samsung-galaxy-f54.webp""/>","₹24,357",89,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC</li>","<li class="""">Exynos 1380, Octa Core, 2.4 GHz Processor</li>","<li class="""">8 GB RAM, 256 GB inbuilt</li>","<li class="""">6000 mAh Battery with 25W Fast Charging</li>","<li class="""">6.7 inches, 1080 x 2408 px, 120 Hz Display with Punch Hole</li>","<li class="""">108 MP + 8 MP + 2 MP Triple Rear &amp; 32 MP Front Camera</li>","<li class="""">Memory Card (Hybrid), upto 1 TB</li>","<li class="""">Android v13</li>"
31,Realme 12 5G,"<img alt=""Realme 12 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-ihrVGEGS0-w280-h280/realme-12-5g.webp""/>","₹16,998",,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Dimensity 6100 Plus, Octa Core, 2.2 GHz Processor</li>","<li class="""">6 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 45W Fast Charging</li>","<li class="""">6.72 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole</li>","<li class="""">108 MP + 2 MP Dual Rear &amp; 8 MP Front Camera</li>","<li class="""">Memory Card (Hybrid), upto 2 TB</li>","<li class="""">Android v14</li>"
32,Xiaomi Redmi Note 12 5G,"<img alt=""Xiaomi Redmi Note 12 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iVTSdrBOM-w280-h280/xiaomi-redmi-note-12.webp""/>","₹11,159",,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster</li>","<li class="""">Snapdragon 4 Gen 1, Octa Core, 2 GHz Processor</li>","<li class="""">4 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 33W Fast Charging</li>","<li class="""">6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole</li>","<li class="""">48 MP + 8 MP + 2 MP Triple Rear &amp; 13 MP Front Camera</li>","<li class="""">Memory Card (Hybrid), upto 1 TB</li>","<li class="""">Android v12</li>"
33,Realme 12 Pro 5G,"<img alt=""Realme 12 Pro 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iqDKgfAiw-w280-h280/realme-12-pro-5g.webp""/>","₹23,999",82,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Snapdragon 6 Gen1, Octa Core, 2.2 GHz Processor</li>","<li class="""">8 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 67W Fast Charging</li>","<li class="""">6.7 inches, 1080 x 2412 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 32 MP + 8 MP Triple Rear &amp; 16 MP Front Camera</li>","<li class="""">Android v14</li>",
34,Vivo T2x 5G (6GB RAM + 128GB),"<img alt=""Vivo T2x 5G (6GB RAM + 128GB)"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-idq6N7SMW-w280-h280/vivo-t2x-5g-6gb-ram.webp""/>","₹12,999",,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Dimensity 6020, Octa Core, 2.2 GHz Processor</li>","<li class="""">6 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 18W Fast Charging</li>","<li class="""">6.58 inches, 1080 x 2408 px Display with Water Drop Notch</li>","<li class="""">50 MP + 2 MP Dual Rear &amp; 8 MP Front Camera</li>","<li class="""">Memory Card (Hybrid), upto 1 TB</li>","<li class="""">Android v13</li>"
35,Motorola Moto G54 5G (12GB RAM +256GB),"<img alt=""Motorola Moto G54 5G (12GB RAM +256GB)"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-is7wPyX1O-w280-h280/motorola-moto-g54-5g.webp""/>","₹16,999",85,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Dimensity 7020, Octa Core, 2.2 GHz Processor</li>","<li class="""">12 GB RAM, 256 GB inbuilt</li>","<li class="""">6000 mAh Battery with 33W Fast Charging</li>","<li class="""">6.5 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 8 MP Dual Rear &amp; 16 MP Front Camera</li>","<li class="""">Memory Card (Hybrid), upto 1 TB</li>","<li class="""">Android v13</li>"
